"","TrueMSFEsub.piv","TrueMSFEsub.rand","EstMSFEsub.piv","EstMSFEsub.rand"
"1",220.677816839986,320.593443073771,236.423048133924,320.250198054488
"2",236.711057741107,354.701821939099,247.84348197061,350.599758016971
"3",207.510092393054,349.024872964019,238.70325394733,331.344079201961
"4",236.764860829621,321.590394951748,238.398987929962,314.218422470506
"5",234.063158814524,289.935358660429,248.708036413824,286.926701220073
"6",238.296439679835,322.63383541398,237.003189105809,317.698257090955
"7",233.575145425989,373.282634713475,233.907754461725,355.509717692177
"8",240.246356113736,380.526435622826,244.131177657611,370.883456567749
"9",232.548698626504,365.804229781984,229.929853113002,357.686041935408
"10",232.732383426264,346.887096505694,242.715373876423,337.380472658883
"11",232.22240046092,342.189155316499,238.778418168972,334.446407610995
"12",238.871922468617,357.146183718748,234.308929596657,351.675976643528
"13",232.971889608683,325.15126573955,235.968341803933,318.24300076866
"14",231.405542746295,371.057302071449,238.604047868455,366.672117003833
"15",205.950882420924,364.553632927444,242.577642785061,357.905042004842
"16",232.065947791006,333.109596794596,233.481244606854,320.578307531931
"17",237.079155455801,313.737635987802,244.171962980607,310.393923036445
"18",227.600428323316,350.03464396332,237.550392596795,341.241799612186
"19",189.76697154833,333.208815700658,234.711504604461,344.934022453273
"20",233.575145425989,356.227034102998,238.887100455704,340.74627364252
"21",234.257212635811,354.742466954555,240.182690439164,342.21565372888
"22",232.979773475736,379.159514463106,245.802563975452,368.636631905203
"23",229.12213321673,372.678577837238,231.20486294131,367.116116935359
"24",239.916291583498,366.915134153056,233.907754461725,348.93877407731
"25",225.415170455181,346.937219328027,239.438985141632,330.330991521123
"26",237.778236925661,358.287599134945,234.314316585918,363.578486239827
"27",219.732511528233,360.129629639991,245.866659476226,344.54130167305
"28",231.405542746295,395.072133715601,241.755544761565,381.46228726301
"29",231.06042513433,358.779341169444,231.112345172087,346.394863556652
"30",228.078452318268,373.224338844527,236.415841805969,361.300116142153
"31",239.438273932873,388.601553034037,242.465783383101,379.518032651302
"32",234.063158814524,381.776998520888,236.394756335652,368.438510445947
"33",192.563594789811,332.736319748381,239.116017116293,331.106586977148
"34",232.065947791006,354.851313395914,231.474892229127,344.048198447522
"35",232.065947791006,379.55671715337,229.929853113002,364.412706446894
"36",222.115823532159,347.480348918711,235.649541389779,330.295347445409
"37",229.331764261446,365.848479008702,230.904039389534,352.277601763393
"38",232.732383426264,354.163639048043,234.711504604461,338.547596194556
"39",231.645101736262,362.534666012518,237.33305584488,354.108426452765
"40",223.231157008809,333.497570598737,230.904039389534,328.186554350722
"41",241.041248386762,371.027280774826,242.313560559451,368.444282766569
"42",237.7200155597,405.406127983066,251.799810472758,398.079450892835
"43",217.280848266131,358.040115624422,240.867678605385,348.112660320229
"44",221.433912929473,312.276911915304,238.778418168972,305.826500865778
"45",232.732383426264,324.942452304476,240.695702548087,328.555078733085
"46",231.658728950451,352.079797714746,237.003189105809,342.636835986747
"47",209.622575372359,361.610036868533,235.777372987227,346.493331050672
"48",242.99957043725,362.042868673556,234.237429555538,355.901185594606
"49",233.236355248214,358.932034829402,230.773518077715,345.377787314879
"50",234.114871194698,376.121435321987,237.18252353359,359.842005237651
